"DAY(collection_week)","Comparisons","question_label","rolling_mean","Subgroups","rolling_n","Max of current_period","Max of previous_period"
2024-07-22 00:00:00,"ACP Community Type","Civic Intent score",,,405,0,0
2024-07-22 00:00:00,"Age","Civic Intent score",,,400,0,0
2024-07-22 00:00:00,"All","Civic Intent score",,,400,0,0
2024-07-22 00:00:00,"Children in Home","Civic Intent score",,,400,0,0
2024-07-22 00:00:00,"Demographics","Civic Intent score",,,400,0,0
2024-07-22 00:00:00,"Ethnicity","Civic Intent score",,,453,0,0
2024-07-22 00:00:00,"Gender","Civic Intent score",,,404,0,0
2024-07-22 00:00:00,"Giver Type","Civic Intent score",,,1166,0,0
2024-07-22 00:00:00,"State","Civic Intent score",,,402,0,0
2024-07-29 00:00:00,"ACP Community Type","Civic Intent score",,,398,0,0
2024-07-29 00:00:00,"Age","Civic Intent score",,,400,0,0
2024-07-29 00:00:00,"All","Civic Intent score",,,400,0,0
2024-07-29 00:00:00,"Children in Home","Civic Intent score",,,400,0,0
2024-07-29 00:00:00,"Demographics","Civic Intent score",,,400,0,0
2024-07-29 00:00:00,"Ethnicity","Civic Intent score",,,445,0,0
2024-07-29 00:00:00,"Gender","Civic Intent score",,,400,0,0
2024-07-29 00:00:00,"Giver Type","Civic Intent score",,,1200,0,0
2024-07-29 00:00:00,"State","Civic Intent score",,,391,0,0
2024-08-05 00:00:00,"ACP Community Type","Civic Intent score",,,400,0,0
2024-08-05 00:00:00,"Age","Civic Intent score",,,401,0,0
2024-08-05 00:00:00,"All","Civic Intent score",,,401,0,0
2024-08-05 00:00:00,"Children in Home","Civic Intent score",,,401,0,0
2024-08-05 00:00:00,"Demographics","Civic Intent score",,,401,0,0
2024-08-05 00:00:00,"Ethnicity","Civic Intent score",,,436,0,0
2024-08-05 00:00:00,"Gender","Civic Intent score",,,398,0,0
2024-08-05 00:00:00,"Giver Type","Civic Intent score",,,1216,0,0
2024-08-05 00:00:00,"State","Civic Intent score",,,372,0,0
2024-08-12 00:00:00,"ACP Community Type","Civic Intent score",,,404,0,0
2024-08-12 00:00:00,"Age","Civic Intent score",,,403,0,0
2024-08-12 00:00:00,"All","Civic Intent score",,,403,0,0
2024-08-12 00:00:00,"Children in Home","Civic Intent score",,,403,0,0
2024-08-12 00:00:00,"Demographics","Civic Intent score",,,403,0,0
2024-08-12 00:00:00,"Ethnicity","Civic Intent score",,,433,0,0
2024-08-12 00:00:00,"Gender","Civic Intent score",,,406,0,0
2024-08-12 00:00:00,"Giver Type","Civic Intent score",,,1219,0,0
2024-08-12 00:00:00,"State","Civic Intent score",,,412,0,0
2024-08-19 00:00:00,"ACP Community Type","Civic Intent score",,,402,0,0
2024-08-19 00:00:00,"Age","Civic Intent score",,,403,0,0
2024-08-19 00:00:00,"All","Civic Intent score",,,403,0,0
2024-08-19 00:00:00,"Children in Home","Civic Intent score",,,403,0,0
2024-08-19 00:00:00,"Demographics","Civic Intent score",,,403,0,0
2024-08-19 00:00:00,"Ethnicity","Civic Intent score",,,416,0,0
2024-08-19 00:00:00,"Gender","Civic Intent score",,,399,0,0
2024-08-19 00:00:00,"Giver Type","Civic Intent score",,,1185,0,0
2024-08-19 00:00:00,"State","Civic Intent score",,,408,0,0
2024-08-26 00:00:00,"ACP Community Type","Civic Intent score",,,408,0,0
2024-08-26 00:00:00,"Age","Civic Intent score",,,403,0,0
2024-08-26 00:00:00,"All","Civic Intent score",,,403,0,0
